protein,intervention,I,II
ACADM,resistance,-0.23473610753034382,-0.1266022813689789
ACADM,terbutaline,-0.15654683790838783,-0.4297384570004315
ACADS,resistance,-0.4892337045834595,-0.053559868198231664
ACADS,terbutaline,-0.054945789446435626,-0.26703245042283114
ACADSB,resistance,-0.5196858953337501,-0.16161596758976904
ACADSB,terbutaline,-0.09655330335754023,-0.27159950063373683
ACADVL,resistance,-0.3433612828185067,-2.0407754571794e-4
ACADVL,terbutaline,0.06601033159084033,-0.11113156508158895
ACAP1,resistance,-0.26697251876644756,NA
ACAP1,terbutaline,-0.3644964433901082,NA
ACAT1,resistance,-0.5067114323924911,-0.1513993951095678
ACAT1,terbutaline,-0.11293740764941354,-0.36615781260872166
ACO1,resistance,-0.16000838350395188,-0.05656466560447271
ACO1,terbutaline,-0.09159175903057815,-0.0909896138744825
ACO2,resistance,-0.30708633386737966,-0.014307777737127658
ACO2,terbutaline,-0.11331028848765684,-0.27117072095115446
ACOT13,resistance,-0.30946444912259913,-0.0691522848701529
ACOT13,terbutaline,0.10387732958508768,-0.23756858609720335
ACOT2,resistance,-0.3084053805984622,-0.1405260980693941
ACOT2,terbutaline,-0.06164707125347162,-0.26360240768990817
ACOT9,resistance,-0.10985491384446407,0.3156570717802898
ACOT9,terbutaline,0.024609636585782944,-0.13354916993541796
ACP1,resistance,-0.0931015573083884,-0.10283523630948088
ACP1,terbutaline,0.052715905658665324,-0.016700104719770643
ACSF2,resistance,-0.2775065656088534,-0.3244991528789529
ACSF2,terbutaline,-0.08864948294362211,-0.2893511485844968
ACSL1,resistance,-0.2427474920856351,0.03865714282756505
ACSL1,terbutaline,-0.058489987685472485,-0.2631782382590366
ACSL3,resistance,0.16754597487884354,0.13317166246273304
ACSL3,terbutaline,0.13105130036206744,0.18132356459462326
ACSS1,resistance,0.054749331945516184,0.17578783655839358
ACSS1,terbutaline,-0.261185384059443,-0.35945175930596
ACSS2,resistance,-0.15875315100099816,0.135020883717073
ACSS2,terbutaline,0.11883603364158041,0.07435530655041735
ACTA1,resistance,-0.15971856814908847,-0.09253385353904875
ACTA1,terbutaline,-0.09824487269216046,-0.1721079073540365
ACTB,resistance,0.743759876295866,0.09011077150581936
ACTB,terbutaline,0.20443304013808403,0.16411167580461505
ACTBL2,resistance,-0.2992547214551351,-0.19085387621178418
ACTBL2,terbutaline,-0.03301034674299075,-0.013196526633510489
ACTC1,resistance,0.6896523473328767,1.9000028624076148
ACTC1,terbutaline,0.14257079504515507,0.509108933514741
ACTN1,resistance,0.7842777996236526,0.12577199569976183
ACTN1,terbutaline,-0.07961196316974117,0.14980324263650932
ACTN2,resistance,-0.12871798062368914,-0.021866408195321263
ACTN2,terbutaline,-0.06249324848626996,-0.19141546275351828
ACTN3,resistance,-0.4732381220299535,-0.0070052897550243465
ACTN3,terbutaline,0.034499198136673084,-0.20515166531898643
ACTN4,resistance,0.7069518674095446,0.31691147001568787
ACTN4,terbutaline,0.019815514569996067,0.23753478979014378
ACTR10,resistance,0.024687678248023204,-0.05262007357679336
ACTR10,terbutaline,0.21588963545419465,-0.3365748383065972
ACTR1A,resistance,0.05457772817529844,0.1464216674062464
ACTR1A,terbutaline,0.11734666643313738,0.10444206542434327
ACTR2,resistance,0.7375910582633202,0.3409236554466373
ACTR2,terbutaline,0.21806098830217926,0.3775256014215323
ACY1,resistance,-0.08072061358359559,0.053244473593663466
ACY1,terbutaline,0.13661587342190684,0.04595017980713001
ACYP2,resistance,-0.0665957136153398,-0.0022881379676849
ACYP2,terbutaline,0.034637212012971035,-0.05323601971096329
ADAL,resistance,-0.31100616040377077,-0.14964064845978542
ADAL,terbutaline,0.13775641166273325,0.02076508414002447
ADCK3,resistance,-0.37132415775944977,-0.1244972779806981
ADCK3,terbutaline,-0.06914769653622248,-0.4007457537403232
ADH1B,resistance,-0.3127247538501453,-0.39080074875232773
ADH1B,terbutaline,-0.24880448982710163,-0.2907353324252064
ADH5,resistance,-0.2752972598191908,-0.06684574851103053
ADH5,terbutaline,0.06674285016209475,-0.06918169351539882
ADHFE1,resistance,-0.26409386901698284,-0.07065796152502468
ADHFE1,terbutaline,-0.30459862693911116,-0.4698212776705614
ADI1,resistance,0.0674548782189474,0.18983120730871628
ADI1,terbutaline,0.20928232351073475,0.36193827395135464
ADIPOQ,resistance,-0.08092213388562033,0.17637421180549184
ADIPOQ,terbutaline,0.09805925632575821,-0.08879899249330177
ADIRF,resistance,-0.07133665671556919,0.36474599810010644
ADIRF,terbutaline,0.2051061567524511,0.5233258795388489
ADK,resistance,0.14423489197593092,-0.034927740453356115
ADK,terbutaline,0.13886409473708314,0.0652797453949594
ADPRHL1,resistance,-0.004120733575742211,0.16686717351046254
ADPRHL1,terbutaline,0.13318165062661969,0.03951884966042559
ADPRHL2,resistance,-0.19273944202998244,-0.05415866737517283
ADPRHL2,terbutaline,-0.055850346390958504,0.01835568623546709
ADSL,resistance,-0.18143044895133592,-0.1355482326234163
ADSL,terbutaline,-0.004190202571215205,-0.24876528815425006
ADSSL1,resistance,-0.3407602624804585,-0.2586874141318205
ADSSL1,terbutaline,-0.08617601863335636,-0.4108770898553534
AFG3L2,resistance,-0.28552998761213494,-5.170229956046324e-4
AFG3L2,terbutaline,0.008259681589258196,-0.22200225326616416
AGK,resistance,-0.21714128069444374,-0.06920971814257015
AGK,terbutaline,0.0826802860081136,-0.11629501936624242
AGL,resistance,-0.1943406647115573,-0.06007432386260003
AGL,terbutaline,0.02003823798954448,-0.16408136305609547
AGPAT3,resistance,-0.08492953275260658,-0.3997985824990986
AGPAT3,terbutaline,-1.2810176430925264,-0.0971891367227542
AGPS,resistance,-0.3105369909614855,-0.213244179084097
AGPS,terbutaline,6.1538658936137e-4,0.025150216661440034
AGT,resistance,0.1270591650524803,0.3329433192403659
AGT,terbutaline,-0.45788351601940436,-0.22421538139696118
AHCY,resistance,-0.010521127394468215,0.17776346578259683
AHCY,terbutaline,0.15195097068776336,0.11132169099011291
AHCYL2,resistance,0.12097712628320474,0.13394160141591605
AHCYL2,terbutaline,0.17157798777998925,0.0760646305156727
AHNAK,resistance,0.27472766421798334,0.14227554228038475
AHNAK,terbutaline,0.16655181638849292,0.20761507967635998
AHSA1,resistance,0.20414060415066468,0.15712731395415375
AHSA1,terbutaline,-0.03362294129864498,-0.02504998500536941
AHSG,resistance,0.2906138495407879,0.4208217376693413
AHSG,terbutaline,0.018008299965669557,0.047998154594312815
AIFM1,resistance,-0.27852062025240115,-0.033233328302086695
AIFM1,terbutaline,-0.0028564303453252594,-0.1240318550857847
AIMP1,resistance,0.15337676824938054,0.02597596236175881
AIMP1,terbutaline,-0.03074518310514348,0.05368739620022037
AIMP2,resistance,-0.007928913733684281,0.04046545531635611
AIMP2,terbutaline,0.317277254764349,-0.05014490738651012
AK1,resistance,-0.20944886454070297,-0.17566089779812177
AK1,terbutaline,0.051848724837759944,-0.020400614437710313
AK2,resistance,-0.14346832246494223,-0.04231224043058801
AK2,terbutaline,0.024146477102118088,-0.11390828516483757
AK3,resistance,-0.34850247876557816,0.003194507978824701
AK3,terbutaline,0.11941322671515213,-0.07557633585930186
AKAP1,resistance,-0.01951212238560705,0.13759482922674296
AKAP1,terbutaline,-0.044508069707243435,-0.481295807672178
AKR1A1,resistance,0.17704299257737435,0.14273280340547467
AKR1A1,terbutaline,0.14011586104877927,0.14782784615610675
AKR1B1,resistance,-0.15722111616354692,0.025135300055578735
AKR1B1,terbutaline,-0.017927751944288417,-0.07833654119904014
AKR1C2,resistance,0.370981292782069,0.922200369678198
AKR1C2,terbutaline,0.2949423158958456,0.7865180568510373
AKR1C3,resistance,0.3688833689441334,1.2744947214329008
AKR1C3,terbutaline,0.4235817394584153,0.6369070451252509
AKR7A2,resistance,-0.10211322829445864,0.05054931448981437
AKR7A2,terbutaline,0.09784187687001691,-0.019498129835790134
AKT1S1,resistance,-0.4335458609220468,-0.2863234617769013
AKT1S1,terbutaline,-0.12805097291350237,0.13442507457533193
AKT2,resistance,0.17672335057096125,0.2436211039096689
AKT2,terbutaline,-0.3933890432876777,0.11004968735004308
ALAD,resistance,-0.2345334746130676,0.07057331756494434
ALAD,terbutaline,0.017719497730052325,0.1047456189214584
ALB,resistance,0.33000636023339475,0.4066793413670635
ALB,terbutaline,-0.07429665277823415,0.049508882026287004
ALDH1A1,resistance,-0.2639372503064494,-0.17120925784535346
ALDH1A1,terbutaline,-0.1769020364247755,-0.2696531411956234
ALDH1A2,resistance,0.4495215274858853,0.8283623478787201
ALDH1A2,terbutaline,0.28563002334978466,0.39929637089185466
ALDH1B1,resistance,-0.01598110377782699,0.9271036376286932
ALDH1B1,terbutaline,0.37092253226840993,0.43070421166838263
ALDH1L1,resistance,-0.3168614889676896,-0.1941392687198169
ALDH1L1,terbutaline,0.07871434408680364,0.19054349246609523
ALDH2,resistance,-0.11984148052532564,-0.13362287587001997
ALDH2,terbutaline,0.23278810959186927,0.0978133052163949
ALDH3A2,resistance,0.11815873441455084,0.03333054691303783
ALDH3A2,terbutaline,0.06952909680483461,0.11827797073298048
ALDH4A1,resistance,-0.18379015173452626,0.10769713913040135
ALDH4A1,terbutaline,-0.2007258279148322,-0.3410912643543657
ALDH5A1,resistance,-0.3487242279676201,-0.1673500274364823
ALDH5A1,terbutaline,-0.13489341922387482,-0.35839148392357795
ALDH6A1,resistance,-0.4024661281585623,-0.2118647633127595
ALDH6A1,terbutaline,-0.2847774591057292,-0.13779554173108055
ALDH7A1,resistance,0.11635905332764349,0.06577223818267952
ALDH7A1,terbutaline,-0.09209183625615566,-0.09952233798767669
ALDH9A1,resistance,-0.22098192611844197,-0.0645149343671454
ALDH9A1,terbutaline,0.001087498226094834,-0.16986754369655888
ALDOA,resistance,-0.21511772224223336,-0.15751947596956484
ALDOA,terbutaline,-0.04812230828319222,-0.13494969413827876
ALDOC,resistance,-0.4486336569737731,-0.45795557911409857
ALDOC,terbutaline,0.45463792803255415,-0.036905172152648845
ALPK3,resistance,-0.0459891481997052,0.2241003700360511
ALPK3,terbutaline,0.2268454642916047,0.16963605103212606
ALYREF,resistance,0.4863341878940903,0.07133084407713253
ALYREF,terbutaline,0.193068846756876,0.18574960719688174
AMBP,resistance,0.25981243842484375,0.2876141326097461
AMBP,terbutaline,0.19678764036204682,-0.1501456449555659
AMPD1,resistance,-0.3329381645021497,-0.2045837781324802
AMPD1,terbutaline,-0.19204386734794057,-0.219935557931534
AMPD3,resistance,0.7312027310738886,0.26107959426294336
AMPD3,terbutaline,0.2360247922991226,0.33843163993087977
ANK1,resistance,-0.7189565120942137,-0.2849744821412836
ANK1,terbutaline,-0.032163453086445824,0.11214452851745849
ANK2,resistance,-0.18560450784991087,0.5084494866077416
ANK2,terbutaline,0.18530987848885366,-0.010847524926431854
ANK3,resistance,-0.20025680967291645,-0.20468669024899766
ANK3,terbutaline,0.16658841281379616,-0.12685916309734338
ANKRD2,resistance,0.7792793523722585,1.164655820390602
ANKRD2,terbutaline,0.42438994852644724,0.27421879619466233
ANP32A,resistance,0.5188107775830346,-0.06324136151926016
ANP32A,terbutaline,0.30236309371422926,0.09692594865332389
ANP32E,resistance,-0.012492505373171576,0.01943110219479327
ANP32E,terbutaline,0.16740167230522282,0.0290774626471945
ANXA1,resistance,1.9379671835153387,0.21472723580781672
ANXA1,terbutaline,0.2407248772154064,0.3172023519811387
ANXA11,resistance,0.1018860755887968,0.02153340291966721
ANXA11,terbutaline,0.012295805965199755,0.0038472797610749807
ANXA2,resistance,0.477699144962795,0.22854535350699345
ANXA2,terbutaline,0.14352706821852726,0.26876129852528025
ANXA3,resistance,0.2671073926635467,-0.08663755261583495
ANXA3,terbutaline,-0.09776960518925772,0.10693312486343769
ANXA4,resistance,0.4527219006172992,0.03204646281130441
ANXA4,terbutaline,0.08429129155222749,0.22700425206837713
ANXA5,resistance,0.18805352981408469,0.1292772267332838
ANXA5,terbutaline,0.11025946395773764,0.11594693938551644
ANXA6,resistance,-0.05651714960619917,0.09739279560797742
ANXA6,terbutaline,0.02591535015502581,-0.03754484825267242
ANXA7,resistance,-0.03814948844205622,0.01187184622370463
ANXA7,terbutaline,0.06370287878735831,-0.019837853830032042
AOC3,resistance,-0.3237429545689536,0.4120842847732519
AOC3,terbutaline,0.041654892160184843,0.04634725028258435
AP1B1,resistance,0.5570519931207133,-0.021951089139728763
AP1B1,terbutaline,0.051690247863717925,0.12643701400877147
AP1M1,resistance,0.06182335536190594,0.2703460757849214
AP1M1,terbutaline,-0.03504368714396936,-0.1773781021859128
AP2A1,resistance,0.7801322427879578,-0.06285983794789765
AP2A1,terbutaline,0.47987366439776097,0.26245614849694987
AP2B1,resistance,0.14846321650604619,0.2226782722594749
AP2B1,terbutaline,0.022156579241840408,0.037185348018017095
AP4S1,resistance,-0.2647717059014979,-0.15918782458718742
AP4S1,terbutaline,0.0725764337820826,0.16379019125901192
APCS,resistance,0.13820484405002276,0.18095995984457414
APCS,terbutaline,-0.18974326441274386,0.0583399707154039
APEH,resistance,-0.14799683219241594,0.059472162673026796
APEH,terbutaline,0.07324203666612948,-0.039861181109584955
APEX1,resistance,0.4173188535889213,0.37404526454941384
APEX1,terbutaline,-0.05135929254468849,0.028237236706839752
API5,resistance,-0.0055980469873091465,-3.4754237911601913
API5,terbutaline,0.5224772285017163,-0.11282821672715859
APIP,resistance,-0.28344823443128053,0.13131497797101335
APIP,terbutaline,0.047827461261516824,-0.4500739293496272
APMAP,resistance,0.6187326043589266,0.3793732228276614
APMAP,terbutaline,0.23848709771615328,1.3730807683722936
APOA1,resistance,0.3418318596922827,0.48673245159366463
APOA1,terbutaline,0.10926714183951265,0.1380940792353019
APOA1BP,resistance,-0.06049632550994285,-0.04026263479557035
APOA1BP,terbutaline,-0.1366652743514321,0.008173991644002973
APOA2,resistance,0.21939748285854602,0.3844340072648311
APOA2,terbutaline,0.11367576505145052,0.13697398773200634
APOA4,resistance,0.22753340209152487,0.3284841679109194
APOA4,terbutaline,0.012561234807362709,0.09767429971536072
APOB,resistance,0.13818719064960355,0.30382426051363365
APOB,terbutaline,0.0024376203755908186,0.158937892782268
APOC1,resistance,0.31159828250689287,0.10799785386758676
APOC1,terbutaline,0.15178061694296693,0.10149050857973485
APOC3,resistance,-0.1968175045803616,0.04218989420916763
APOC3,terbutaline,0.16119642205433055,-0.003548118146857071
APOD,resistance,0.6610324982956914,-0.21705182748779417
APOD,terbutaline,-0.31906498425141167,-0.3342559012251772
APOE,resistance,-0.17491535296137808,0.16242152519912567
APOE,terbutaline,0.15297096673487243,0.04460110764847484
APOH,resistance,0.3526915825085068,0.3943149572427269
APOH,terbutaline,-0.015928199997186736,0.2600467764779473
APOL2,resistance,0.9774328962363477,0.42667540305294743
APOL2,terbutaline,0.3590182187820261,0.31997320626488096
APOO,resistance,-0.3055370831948814,0.10951621905730557
APOO,terbutaline,0.056344999188195126,-0.17341633583504662
APOOL,resistance,-0.23433400624847373,-0.08431575717536921
APOOL,terbutaline,-0.24590867930453525,-0.08823733245278682
APPL1,resistance,0.06528412233956692,-0.0377570110663481
APPL1,terbutaline,-0.06431108356003493,-0.050590592317127925
APRT,resistance,0.12440994142786839,-0.08907684260856742
APRT,terbutaline,0.38858091523788635,0.17417183789395865
AQP1,resistance,0.35209006665435005,-0.4922313065284101
AQP1,terbutaline,-0.05932032637235807,0.3012034987960324
ARCN1,resistance,0.12912121614917968,0.2675400564774333
ARCN1,terbutaline,0.2689607890644694,0.22226259841046417
ARF1,resistance,-0.010999040494247936,-0.014548837753455501
ARF1,terbutaline,0.420964977639643,0.10152037710603762
ARF6,resistance,-0.03904426910309081,0.035561773746100256
ARF6,terbutaline,0.10510140848727846,-0.11240701980566718
ARG1,resistance,1.6095570926916576,-0.3756820743185654
ARG1,terbutaline,-0.06500051239405646,-0.5004173786717114
ARHGAP17,resistance,0.25887465089306616,-0.06666133228897368
ARHGAP17,terbutaline,0.02510238595526652,0.15925706875706408
ARHGDIA,resistance,0.17213923269434112,0.14666242221680115
ARHGDIA,terbutaline,-0.04876137170385174,0.2337673616195158
ARHGDIB,resistance,0.6330123217106571,0.4459747795553832
ARHGDIB,terbutaline,0.07745434942598245,0.19638039933658039
ARIH1,resistance,-0.41043429997366765,-0.16995473058165572
ARIH1,terbutaline,-0.09113204546120908,0.25078041346158475
ARL1,resistance,-0.09789410996233301,-0.14108318906501394
ARL1,terbutaline,-0.20761816964689453,-0.07484124440269335
ARL3,resistance,-0.05890803046092203,-0.0016852920893377643
ARL3,terbutaline,0.03375296991257383,0.036008189957883165
ARL6IP5,resistance,0.27358124776600157,-0.00995302304916601
ARL6IP5,terbutaline,0.3940283890309267,0.13789081523672356
ARL8B,resistance,0.5153289711650023,0.4116938347112831
ARL8B,terbutaline,-0.00771664756914006,-0.1395018368084234
ARMT1,resistance,-0.027871204763910536,-0.1228495527172182
ARMT1,terbutaline,-0.08453326775132047,0.02841769097103164
ARPC1B,resistance,0.6237776682124023,-0.31262831249190154
ARPC1B,terbutaline,-0.10353324716390588,0.2831951854209816
ARPC2,resistance,0.7775365888260785,-0.03908114028686027
ARPC2,terbutaline,-0.07528368667193323,0.2917587238412091
ARPC3,resistance,0.7066245059652699,-0.09103680538925363
ARPC3,terbutaline,0.06675549464806024,0.2332434658062185
ARPC5,resistance,0.9636989253352836,0.28735867521870806
ARPC5,terbutaline,0.19099225128428282,0.18246447064556257
ARPC5L,resistance,0.794860556571338,-0.18645665566524472
ARPC5L,terbutaline,-0.002216774947897774,-0.12000229832553
ART3,resistance,-0.9246039706078373,-0.712636277639025
ART3,terbutaline,-0.38898567580832055,-0.6324296686740077
ASAH1,resistance,0.2568720236051438,-0.14129500171022036
ASAH1,terbutaline,-0.02522568784230199,0.023102507835686126
ASNA1,resistance,0.057533706360506996,0.14700495953594328
ASNA1,terbutaline,0.07708015004480291,-0.0022234943342585765
ASPA,resistance,-0.09579478030086516,-0.14046192561560922
ASPA,terbutaline,-0.04742113030605525,-0.23303050743630171
ASPN,resistance,0.22297011278680312,0.11909484691540495
ASPN,terbutaline,-0.02710676933545712,-0.272262121780609
ASS1,resistance,-0.09797791429221826,0.6353510752756546
ASS1,terbutaline,-0.16519117825320387,0.05901970732789088
ATAD1,resistance,-0.22694438341776824,0.04774408260705698
ATAD1,terbutaline,-0.04926402540761602,-0.06178043432025252
ATAD3A,resistance,-0.2815542901354693,0.07625806893460862
ATAD3A,terbutaline,-0.05702254597095068,-0.05106615362075484
ATE1,resistance,-0.18217488190902031,-0.18132377052302515
ATE1,terbutaline,-0.11036067030167393,-3.937916074698844e-4
ATG3,resistance,0.27056028586994607,-0.1893927635829661
ATG3,terbutaline,-0.19420683635024347,NA
ATIC,resistance,0.08452622978371568,0.2638085364642766
ATIC,terbutaline,0.12458590925270294,0.06502956098859262
ATL2,resistance,-0.19090704243186277,0.1671582718734712
ATL2,terbutaline,0.2336861027397756,0.2122973398059321
ATOX1,resistance,0.030275170139826914,-0.040419919834847384
ATOX1,terbutaline,-0.01624147299846052,0.06172198594749704
ATP1A1,resistance,0.27862485314056534,0.34564440495058535
ATP1A1,terbutaline,-0.016179350448765353,-0.1272936231027392
ATP1A2,resistance,-0.16532624441050256,0.047719577137405045
ATP1A2,terbutaline,-0.026146601921330132,-0.08284329072324119
ATP1B1,resistance,-0.11007560486196764,0.10895120714450646
ATP1B1,terbutaline,-0.05167176419472733,0.04930253188918998
ATP2A1,resistance,-0.12693830817298388,-0.3585891135807344
ATP2A1,terbutaline,-0.055160040370143,-0.17469873336131533
ATP2A2,resistance,-0.11171333633958166,0.9429161283747567
ATP2A2,terbutaline,-0.2587860189054049,0.039255859095460664
ATP2B1,resistance,-0.4771217152589422,-0.013879229634657708
ATP2B1,terbutaline,0.7297213680509611,0.2152474952323565
ATP5A1,resistance,-0.26506947918797713,-0.14978991049820456
ATP5A1,terbutaline,0.012998094872719216,-0.20553165896846495
ATP5B,resistance,-0.3468839813256826,-0.007873228030477186
ATP5B,terbutaline,0.033010814423082735,-0.21507863509307068
ATP5C1,resistance,-0.3090635100664052,0.019568187092476208
ATP5C1,terbutaline,0.008263393767465278,-0.15123535112524866
ATP5D,resistance,-0.2577278221197794,0.03062957789077614
ATP5D,terbutaline,0.1416218279409486,-0.16759124164608563
ATP5F1,resistance,-0.2784780820992846,-0.016036485465213524
ATP5F1,terbutaline,-0.11024874378097124,-0.1432463760200564
ATP5H,resistance,-0.229289118664934,-0.12399140675239373
ATP5H,terbutaline,-0.15258000640620367,-0.21969656182911437
ATP5I,resistance,-0.4255004409196082,-0.10852595550917377
ATP5I,terbutaline,-0.009787373271017384,-0.11447452226753274
ATP5J,resistance,-0.2533572609942851,-0.00421965008403169
ATP5J,terbutaline,-0.03782861209611983,-0.16101690330300297
ATP5J2,resistance,-0.4988721554135118,-0.23386289869440602
ATP5J2,terbutaline,-0.04433052830331427,-0.11556982164934926
ATP5L,resistance,-0.3095020569570343,0.09433992553989556
ATP5L,terbutaline,0.08338894470945941,-0.044106866440978575
ATP5O,resistance,-0.47904094722583423,0.1094364224482054
ATP5O,terbutaline,0.11108704610654413,-0.22218493448354723
ATP5S,resistance,-0.31389906025108594,-0.2976014501551977
ATP5S,terbutaline,-0.0670535425454722,-0.19392572928209942
ATP6V1A,resistance,0.191662865778117,0.1490716601561104
ATP6V1A,terbutaline,-0.15452960801000282,0.011462024254620248
ATP6V1B2,resistance,0.2506207535391786,-0.06614854137351478
ATP6V1B2,terbutaline,0.09194895248743047,-0.02878586279585914
ATP6V1D,resistance,-0.21328765614035844,0.1346390580018905
ATP6V1D,terbutaline,-0.022511093053096804,-0.02698261746510649
ATP6V1E1,resistance,0.4466340710904448,-0.13182021122599386
ATP6V1E1,terbutaline,0.13296674124722754,0.16602618256607396
ATPAF1,resistance,-0.16215826252129237,0.2315667519296456
ATPAF1,terbutaline,-0.040359701386853755,-0.1447769500862086
ATPIF1,resistance,-0.11366917031286139,-0.6970292537180157
ATPIF1,terbutaline,0.13982757522063577,-0.07272947619208203
AUH,resistance,-0.2882774107796554,0.051847068820082755
AUH,terbutaline,-0.11281781091647379,-0.17221797122013818
AZGP1,resistance,0.3683943399730352,-0.36222448973872234
AZGP1,terbutaline,-0.22286562468542626,-0.007776552184831716
BAG2,resistance,-0.20201396430405008,0.07395904935236253
BAG2,terbutaline,-0.044257886263333206,-0.12333709451223014
BAG3,resistance,0.17144754859185315,0.38369059095168523
BAG3,terbutaline,0.15214961122586806,0.17162060027987933
BANF1,resistance,0.024205985709599784,-0.2064396755655451
BANF1,terbutaline,-0.00930115259938392,-0.027420346345884344
BAX,resistance,0.3592516866644809,0.33272488164565783
BAX,terbutaline,0.14187676603798943,0.34281206356526983
BCAM,resistance,-0.22351052227880303,-0.0863084597959538
BCAM,terbutaline,-0.18476227386039598,0.09214271679638886
BCAP31,resistance,0.04089856383793178,-0.2765280386992597
BCAP31,terbutaline,0.03302245951973437,0.3443898090311732
BCAT2,resistance,-0.2735410490616399,-0.1754671359708646
BCAT2,terbutaline,0.01757628332351197,-0.04515472603018086
BCKDHA,resistance,-0.30182588592911663,0.0551794912140291
BCKDHA,terbutaline,-0.07715565013265618,-0.01333170060915867
BCKDHB,resistance,-0.30808999052305125,0.2311143188468041
BCKDHB,terbutaline,-0.21613085699623438,-0.17431701322391338
BCL2L13,resistance,-0.2370362367626456,-0.003169540290273609
BCL2L13,terbutaline,-0.03110702212919068,0.03896283977428894
BCO2,resistance,0.08353580182506322,0.12922632406981283
BCO2,terbutaline,-0.02989100247508854,-0.24855616348304585
BDH1,resistance,-0.417930925022861,-0.2161916628122713
BDH1,terbutaline,-0.20375919939991027,-0.4048894961023537
BGN,resistance,0.4278942214018426,0.8322265810058911
BGN,terbutaline,0.19105086027567694,0.16173183142840858
BIN1,resistance,-0.17072851599255806,0.04330701679066529
BIN1,terbutaline,0.09495922197357924,-0.0027994957352615777
BLMH,resistance,0.1895732246808264,-0.3502187925049427
BLMH,terbutaline,-0.12581662667592505,0.1290858990788255
BLVRA,resistance,-0.059506374683786945,0.020936038251996747
BLVRA,terbutaline,0.040884169999914184,0.016688577733475096
BLVRB,resistance,-0.47192089620431965,-0.17590385723082025
BLVRB,terbutaline,0.09260599109499236,-0.04262765554391009
BNIP1,resistance,0.007718697375678947,0.03886241826603154
BNIP1,terbutaline,0.3632300722301233,-0.07327465733852678
BNIP3,resistance,NA,-0.7825818012233275
BNIP3,terbutaline,-0.01591853567983481,-0.02322679039313454
BOLA2,resistance,0.04849065514623975,0.04732811280552007
BOLA2,terbutaline,0.09367324624999582,0.06290370635105684
BPGM,resistance,-0.7496432796572733,-0.20844382476219114
BPGM,terbutaline,-0.10034415607389982,-0.04122332117982468
BPHL,resistance,0.022050705175808004,0.34650249876649664
BPHL,terbutaline,-0.11099632168264033,-0.0970077483054548
BPNT1,resistance,-0.03719736279353673,-0.3014367031038472
BPNT1,terbutaline,-0.019955688397623836,0.28486716309219595
BRCC3,resistance,-0.13184149037443582,-0.05469160622988826
BRCC3,terbutaline,0.024621712831927732,0.02601762954348885
BRE,resistance,-0.20502505782792824,-0.01059315125383146
BRE,terbutaline,-0.3005308584820114,-0.24527919424166614
BSG,resistance,-0.0958090941804363,-0.1196249303501733
BSG,terbutaline,-0.11924931865951184,-0.2736257486606122
BST2,resistance,-0.18740618422852937,0.08008753222818998
BST2,terbutaline,-0.07891775553583166,-0.01576045227294287
BTF3,resistance,0.9872636608203145,-0.5055849708839263
BTF3,terbutaline,NA,-0.21335559481555544
BZW2,resistance,-0.16193588463181793,0.00597639515784576
BZW2,terbutaline,0.14284399013351254,-0.09649717134980573
C10orf71,resistance,-0.2761335336060915,-0.16916179134009696
C10orf71,terbutaline,-0.5054542761468065,0.06357739137307622
C11orf54,resistance,-0.2645977157571104,-0.2071209106576275
